"Naranja", 11.76, 980
"Lima", 1355.00, 226
"Papa", 25.36, 940
"Lima", 1391.12, 230
"Coliflor", 25.57, 440
"Papa", 25.06, 1120
"Zanahoria", 29.67, 666
"Morron", 3013.31, 642
"Repollo", 4.83, 693
"Durazno", 283.86, 856
"Mandarina", 22.32, 1090
"Durazno", 164.15, 640
"Lima", 1245.28, 238
"Pomelo", 44.45, 783
"Batata", 26.14, 1160
"Coliflor", 31.34, 430
"Higo", 2502.26, 85
"Manzana", 142.54, 1180
"Rabanito", 233.54, 297
"Kiwi", 453.64, 336
"Frutilla", 305.90, 339
"Champignon", 3516.32, 80
"Champignon", 3698.01, 94
"Durazno", 155.73, 664
"Durazno", 268.82, 720
"Apio", 54.84, 339
"Lechuga", 44.81, 1071
"Coliflor", 22.23, 520
"Palta", 1106.04, 332
"TomCherry", 526.21, 188
"Manzana", 148.23, 910
"Naranja", 20.26, 1170
"Lima", 1418.05, 232
"Durazno", 169.44, 744
"Frambuesa", 2097.25, 110
"TomCherry", 569.85, 240
"Tomate", 783.09, 1053
"Choclo", 58.59, 324
"Naranja", 11.25, 1000
"Frutilla", 298.59, 240
"Lima", 1078.86, 216
"Lima", 1349.89, 234
"Naranja", 19.36, 1090
"Uva", 713.09, 240
"Kiwi", 433.73, 348
"Zuccini", 90.50, 570
"Higo", 2597.94, 106
"Batata", 24.56, 1020
"Batata", 17.30, 1050
"Berenjena", 44.56, 684
"Zuccini", 74.33, 498
"Repollo", 4.89, 840
"Brocoli", 370.38, 344
"Choclo", 60.40, 348
"Coliflor", 22.09, 530
"Lechuga", 45.73, 837
"Rabanito", 245.13, 273
"Lima", 1417.19, 200
"Batata", 20.08, 910
"Higo", 2518.22, 115
"Zuccini", 90.32, 558
"Batata", 15.31, 810
"Mandarina", 7.74, 900
"Calabaza", 23.09, 800
"Cebolla", 68.17, 648
"Higo", 2424.55, 113
"Lima", 1052.98, 180
"Kinoto", 36.77, 196
"Brocoli", 350.37, 368
"Calabaza", 24.74, 816
"Alcachofa", 139.07, 360
"Ciruela", 950.30, 900
"Rabanito", 214.15, 357
"TomCherry", 533.61, 238
"Lima", 1387.75, 182
"Frambuesa", 1994.40, 86
"Brocoli", 390.82, 408
"Tomate", 680.86, 828
"Palta", 1208.50, 368
"Durazno", 169.03, 704
"Rabanito", 245.28, 276
"Limon", 322.14, 735
"Lima", 1087.89, 214
"Apio", 49.17, 300
"TomCherry", 569.88, 164
"Mandarina", 18.51, 1100
"Repollo", 5.31, 644
"Caqui", 856.23, 109
"Cebolla", 57.26, 920
"Manzana", 136.20, 860
"Banana", 55.46, 870
"Esparrago", 592.89, 188
"Zuccini", 89.53, 480
"Choclo", 55.66, 330
"Pepino", 34.03, 535
"Kiwi", 444.28, 416
"Frutilla", 301.84, 330
"Lima", 1235.14, 184
"Mandarina", 30.96, 1010
"Apio", 63.99, 276
"Lima", 1255.48, 190
"Pomelo", 34.09, 837
"Kinoto", 27.84, 226
"Esparrago", 602.20, 218
"Mandarina", 18.29, 820
"Zanahoria", 45.68, 720
"Lima", 1096.57, 164
"Lechuga", 42.15, 846
"Esparrago", 622.11, 240
"Apio", 56.97, 306
"Lima", 989.10, 220
"Zuccini", 73.72, 654
"Cebolla", 68.57, 680
"Palta", 492.64, 500
"Pomelo", 42.94, 999
"Choclo", 43.76, 360
"Uva", 721.19, 321
"Durazno", 165.70, 840
"Lima", 1195.17, 210
"Zuccini", 92.38, 564
"Durazno", 267.59, 744
"Melon", 114.88, 480
"Cebolla", 55.49, 864
"Kinoto", 28.44, 212
"Berenjena", 61.22, 594
"Pomelo", 49.56, 819
"Frutilla", 282.67, 240
"Berenjena", 52.24, 654
"Melon", 117.48, 464
"Brocoli", 357.58, 324
"Coliflor", 33.50, 535
"Champignon", 3542.22, 111
"Morron", 2947.58, 720
"Frambuesa", 2076.38, 120
"Frambuesa", 2079.66, 119
"Esparrago", 635.63, 170
"TomCherry", 566.07, 170
"Lima", 1394.48, 186
"Repollo", 9.98, 833
"Palta", 1150.46, 320
"Palta", 491.49, 465
"Morron", 2961.28, 516
"Batata", 16.47, 850
"Cebolla", 66.26, 800
"Kiwi", 423.60, 420
"Zuccini", 88.79, 486
"Banana", 68.34, 1030
"Naranja", 10.55, 1190
"Zuccini", 85.37, 630
"Lima", 1378.71, 238
"Tomate", 759.25, 828
"Choclo", 61.32, 339
"Ajo", 890.39, 108
"Durazno", 135.52, 824
"Ajo", 916.46, 90
"Durazno", 300.46, 864
"Pomelo", 43.68, 891
"Kinoto", 40.53, 230
"Ciruela", 986.20, 747
"Durazno", 141.33, 728
"Mandarina", 13.60, 910
"Repollo", 5.85, 693
"Pera", 147.93, 890
"Ajo", 906.29, 80
"Uva", 722.49, 246
"Morron", 3069.27, 672
"Mandarina", 15.62, 880
"Morron", 3011.51, 528
"Morron", 3021.99, 564
"Rabanito", 240.82, 267
"Repollo", 5.89, 672
"Frutilla", 295.11, 288
"Lima", 1005.29, 162
"Brocoli", 330.80, 480
"Lima", 979.16, 224
"Acelga", 23.09, 828
"Lima", 1318.01, 218
"Repollo", 5.79, 637
"Coliflor", 23.45, 515
"Esparrago", 630.35, 168
"Limon", 349.50, 574
"Kiwi", 433.90, 468
"Cereza", 1023.10, 216
"Kiwi", 442.51, 464
"Tomate", 746.27, 882
"Pepino", 43.70, 475
"Ajo", 909.35, 97
"Apio", 59.94, 354
"Batata", 25.20, 1010
"Alcachofa", 139.26, 318
"Pera", 144.64, 950
"Kiwi", 421.67, 408
"Uva", 672.70, 351
"Lima", 1026.30, 204
"Acelga", 21.57, 720
"Lima", 999.13, 210
"Pomelo", 28.85, 792
"Pera", 147.51, 930
"Banana", 54.76, 1060
"Pera", 150.30, 850
"Lechuga", 33.48, 1017
"Naranja", 11.77, 1020
"Lima", 1359.43, 220
"Cebolla", 66.68, 912
"Lima", 1368.45, 228
"Batata", 26.98, 940
"Durazno", 297.16, 848
"Berenjena", 47.42, 702
"Frambuesa", 2111.47, 111
"Sandia", 58.46, 882
"Brocoli", 350.17, 384
"Choclo", 52.12, 270
"Lima", 1189.45, 188
"Cereza", 992.71, 226
"Uva", 688.95, 357
"Frambuesa", 2056.70, 103
"Pera", 133.32, 810
"Limon", 320.14, 721
"Lima", 1030.45, 194
"Morron", 2935.40, 492
"Lechuga", 31.71, 1062
"Higo", 2656.74, 120
"Kiwi", 378.48, 348
"Durazno", 170.69, 728
"Batata", 20.13, 940
"Kiwi", 398.45, 328
"Durazno", 280.12, 752
"Acelga", 22.40, 954
"Apio", 53.16, 273
"TomCherry", 590.55, 218
"Batata", 18.11, 990
"Durazno", 262.90, 904
"Tomate", 761.04, 783
"Champignon", 3677.38, 84
"Cereza", 1059.81, 198
"Naranja", 15.22, 960
"Coliflor", 27.37, 435
"Lima", 1285.93, 226
"Morron", 3099.78, 714
"Champignon", 3475.64, 94
"Manzana", 156.31, 1180
"Repollo", 5.15, 581
"Uva", 752.38, 348
"Naranja", 14.77, 1100
"Acelga", 23.20, 990
"Choclo", 67.98, 294
"Higo", 2497.76, 113
"Rabanito", 220.98, 273
"Sandia", 60.68, 846
"Ajo", 924.92, 98
"Limon", 327.50, 602
"Acelga", 15.86, 900
"Durazno", 168.72, 856
"Champignon", 3560.20, 102
"Frambuesa", 2124.24, 80
"Uva", 707.44, 303
"Palta", 473.44, 545
"Pera", 141.22, 1170
"Pera", 156.66, 1200
"Champignon", 3603.29, 107
"Frambuesa", 2001.80, 113
"Papa", 23.35, 1100
"Banana", 75.28, 1010
"Mandarina", 19.58, 1130
"Pepino", 36.26, 445
"Batata", 18.19, 1190
"Lechuga", 31.15, 1044
"Ajo", 886.66, 104
"Sandia", 47.70, 1071
"Cebolla", 70.09, 928
"Berenjena", 59.42, 624
"Tomate", 720.07, 828
"Ciruela", 923.29, 792
"Higo", 2410.09, 115
"Kiwi", 448.80, 380
"Berenjena", 60.31, 660
"Zanahoria", 35.02, 546
"Lima", 1035.88, 218
"TomCherry", 547.38, 162
"Higo", 2500.34, 102
"Kinoto", 27.29, 206
"Uva", 755.27, 303
"Repollo", 3.93, 819
"Berenjena", 54.58, 600
"Brocoli", 363.58, 360
"Papa", 19.83, 1140
"Lechuga", 43.56, 918
"Manzana", 158.81, 1120
"Manzana", 138.35, 940
"Lima", 1231.84, 204
"Batata", 23.23, 1040
"Lechuga", 34.28, 1080
"Papa", 19.06, 960
"Cebolla", 55.85, 728
"Morron", 2890.56, 648
"Choclo", 53.20, 279
"Lima", 1267.13, 208
"Tomate", 707.09, 846
"Morron", 2959.54, 582
"Cebolla", 75.60, 880
"Tomate", 762.36, 855
"Pepino", 37.38, 470
"Cebolla", 62.54, 920
"Cebolla", 69.54, 656
"Frutilla", 305.57, 279
"Tomate", 738.84, 891
"Frambuesa", 2070.70, 110
"Palta", 1152.43, 380
"Sandia", 69.52, 774
"Palta", 1200.05, 440
"Durazno", 292.59, 904
"Repollo", 4.64, 595
"Zuccini", 73.23, 660
"Alcachofa", 146.91, 306
"Manzana", 151.35, 1070
"Frutilla", 291.71, 324
"Zanahoria", 29.28, 666
"Frambuesa", 1986.53, 91
"Durazno", 171.23, 928
"Choclo", 64.14, 243
"Acelga", 24.53, 1008
"Champignon", 3534.37, 83
"Esparrago", 638.43, 200
"Ajo", 931.92, 115
"Higo", 2445.74, 87
"Lima", 1285.07, 170
"Batata", 14.30, 810
"Ciruela", 1005.47, 918
"Calabaza", 27.06, 784
"Higo", 2484.81, 120
"Lima", 1332.46, 172
"Durazno", 143.13, 696
"Palta", 1174.46, 336
"Batata", 21.76, 900
"Mandarina", 20.17, 920
"Banana", 78.67, 1140
"Choclo", 64.75, 288
"Brocoli", 369.61, 456
"Ajo", 907.59, 100
"Papa", 15.63, 850
"Ajo", 866.04, 115
"Pepino", 36.83, 505
"Coliflor", 31.44, 475
"Berenjena", 54.82, 498
"Choclo", 60.39, 351
"Cebolla", 71.02, 712
"Pera", 151.16, 1120
"Choclo", 61.17, 339
"Brocoli", 352.12, 472
"Cebolla", 67.82, 656
"Berenjena", 64.63, 708
"Limon", 312.47, 826
"Palta", 505.35, 460
"Zuccini", 87.38, 624
"Zanahoria", 41.96, 690
"Berenjena", 53.17, 708
"Mandarina", 30.09, 1170
"Champignon", 3608.15, 90
"Apio", 54.90, 348
"Repollo", 0.93, 567
"Lima", 1334.51, 190
"Cebolla", 76.79, 848
"Alcachofa", 155.01, 243
"Repollo", 5.11, 574
"Durazno", 154.57, 760
"Mandarina", 14.49, 1010
"Lechuga", 32.11, 936
"Mandarina", 11.16, 1170
"Coliflor", 28.66, 455
"Frutilla", 297.64, 303
"Cebolla", 65.78, 944
"Acelga", 28.17, 747
"Lima", 1220.24, 238
"Lechuga", 34.22, 1062
"Lima", 1072.06, 218
"Naranja", 21.00, 890
"Kinoto", 29.83, 170
"Lima", 1207.61, 216
"Batata", 19.49, 890
"Durazno", 252.67, 840
"Esparrago", 590.73, 200
"Melon", 107.43, 352
"Lima", 1207.25, 162
"TomCherry", 553.47, 186
"Caqui", 804.52, 85
"Frambuesa", 1972.58, 92
"Esparrago", 577.92, 178
"Naranja", 9.63, 880
"Palta", 1137.06, 428
"Zanahoria", 45.86, 492
"Kinoto", 19.51, 206
"Mandarina", 18.14, 1160
"Lima", 990.89, 240
"Brocoli", 336.49, 324
"Naranja", 25.60, 880
"Berenjena", 61.48, 624
"Palta", 462.08, 570
"Higo", 2439.85, 83
"Limon", 291.32, 784
"Ciruela", 987.04, 783
"Pepino", 38.98, 475
"Cereza", 1020.77, 236
"Lima", 1050.79, 226
"Lima", 1370.92, 220
"Batata", 20.04, 1050
"Papa", 20.30, 1140
"Zuccini", 73.88, 594
"Zanahoria", 23.76, 660
"Naranja", 11.84, 970
"Mandarina", 24.01, 1080
"Calabaza", 20.68, 960
"Calabaza", 22.20, 648
"Frambuesa", 2126.87, 101
"Uva", 744.51, 345
"Ajo", 863.37, 105
"TomCherry", 532.58, 234
"Manzana", 161.70, 1090
"Ajo", 867.77, 111
"Mandarina", 18.03, 1110
"Durazno", 278.01, 920
"Lima", 1034.82, 214
"Pepino", 39.49, 590
